GNB	Osat	BdisA	12065	0	11583	0	1288	0	7874	0
GNB	Osat	BdisT	12179	0	10379	0	1699	0	7443	0
SVC	Osat_Bal	BdisT	13211	0	9347	0	2373	0	6769	0
GNB	Osat	BdisT_Bal	5375	0	3767	0	2080	0	7062	0
GNB	Bdis_Bal	Osat_Bal	9350	0	5330	0	5395	0	9285	0
GNB	Bdis_Bal	Osat	9555	0	5125	0	7944	0	12828	0
GNB	Bdis_Bal	Bdis_Bal	583	19.570385790780925	347	19.77371993328519	187	8.48528137423857	743	8.306623862918075
GNB	Bdis_Bal	Bdis	1301	0	916	0	150	0	801	0
GNB	Bdis_Bal	BdisA_Bal	5793	0	3369	0	1859	0	7303	0
GNB	Bdis_Bal	BdisA	13443	0	10205	0	1393	0	7769	0
GNB	Bdis_Bal	BdisT	12958	0	9600	0	1677	0	7465	0
GNB	Bdis_Bal	BdisT_Bal	5800	0	3342	0	2067	0	7075	0
GNB	Bdis	Osat_Bal	10433	0	4247	0	6486	0	8194	0
SVC	Osat_Bal	BdisT_Bal	5849	0	3293	0	2963	0	6179	0
GNB	Bdis	Osat	10597	0	4083	0	9410	0	11362	0
GNB	Bdis	Bdis_Bal	694	0	259	0	245	0	664	0
GNB	Bdis	Bdis	1456	33.2264954516723	780	33.13608305156178	205	8.94427190999916	725	8.94427190999916
GNB	Bdis	BdisA_Bal	6462	0	2700	0	2489	0	6673	0
GNB	Bdis	BdisA	15386	0	8262	0	1978	0	7184	0
GNB	Bdis	BdisT	14999	0	7559	0	2364	0	6778	0
GNB	Bdis	BdisT_Bal	6567	0	2575	0	2804	0	6338	0
GNB	BdisA_Bal	Osat_Bal	9265	0	5415	0	5373	0	9307	0
GNB	BdisA_Bal	Osat	9477	0	5203	0	7875	0	12897	0
GNB	BdisA_Bal	Bdis_Bal	5823	0	3485	0	1865	0	7443	0
SVC	Osat	Osat_Bal	727	0	733	0	264	0	1212	0
