Model,Test,Train,AUC,MCC
RFT,Bdis_Bal,Osat_Bal,0.6870286015376164 +/- 0,0.6870286015376164 +/- 0
RFT,BdisA,Bdis,0.9396911557120778 +/- 0,0.9396911557120778 +/- 0
RFT,BdisA,Bdis_Bal,0.8882849675868325 +/- 0,0.8882849675868325 +/- 0
RFT,BdisA,BdisA,0.8568100943332068 +/- 0.014716825810565687,0.8568100943332068 +/- 0.014716825810565687
RFT,BdisA,BdisA_Bal,0.8926348485966887 +/- 0,0.8926348485966887 +/- 0
RFT,BdisA,BdisT,0.879259190179809 +/- 0,0.879259190179809 +/- 0
RFT,BdisA,BdisT_Bal,0.8346869868303598 +/- 0,0.8346869868303598 +/- 0
RFT,BdisA,Osat,0.701706094677335 +/- 0,0.701706094677335 +/- 0
RFT,BdisA,Osat_Bal,0.7019031342574374 +/- 0,0.7019031342574374 +/- 0
RFT,BdisA_Bal,Bdis,0.8769447554317868 +/- 0,0.8769447554317868 +/- 0
RFT,BdisA_Bal,Bdis_Bal,0.9216616979188462 +/- 0,0.9216616979188462 +/- 0
RFT,BdisA_Bal,BdisA,0.9042038289547996 +/- 0,0.9042038289547996 +/- 0
RFT,BdisA_Bal,BdisA_Bal,0.8575957663576309 +/- 0.008935848739702025,0.8575957663576309 +/- 0.008935848739702025
RFT,BdisA_Bal,BdisT,0.8316924122710181 +/- 0,0.8316924122710181 +/- 0
RFT,BdisA_Bal,BdisT_Bal,0.8573658812577232 +/- 0,0.8573658812577232 +/- 0
RFT,BdisA_Bal,Osat,0.6958327430396505 +/- 0,0.6958327430396505 +/- 0
RFT,BdisA_Bal,Osat_Bal,0.6965878918285829 +/- 0,0.6965878918285829 +/- 0
RFT,BdisT,Bdis,0.8682512176914534 +/- 0,0.8682512176914534 +/- 0
RFT,BdisT,Bdis_Bal,0.8132218988928572 +/- 0,0.8132218988928572 +/- 0
RFT,BdisT,BdisA,0.8827816987061047 +/- 0,0.8827816987061047 +/- 0
RFT,BdisT,BdisA_Bal,0.8178808812878532 +/- 0,0.8178808812878532 +/- 0
RFT,BdisT,BdisT,0.8347541633239765 +/- 0.011772223796306092,0.8347541633239765 +/- 0.011772223796306092
RFT,BdisT,BdisT_Bal,0.9019671629224233 +/- 0,0.9019671629224233 +/- 0
RFT,BdisT,Osat,0.6591177237777117 +/- 0,0.6591177237777117 +/- 0
RFT,BdisT,Osat_Bal,0.6607996801891766 +/- 0,0.6607996801891766 +/- 0
RFT,BdisT_Bal,Bdis,0.8047735081122218 +/- 0,0.8047735081122218 +/- 0
RFT,BdisT_Bal,Bdis_Bal,0.8337690750423504 +/- 0,0.8337690750423504 +/- 0
RFT,BdisT_Bal,BdisA,0.7990711827940552 +/- 0,0.7990711827940552 +/- 0
RFT,BdisT_Bal,BdisA_Bal,0.8459161218039394 +/- 0,0.8459161218039394 +/- 0
RFT,BdisT_Bal,BdisT,0.8725311870373087 +/- 0,0.8725311870373087 +/- 0
RFT,BdisT_Bal,BdisT_Bal,0.8345918504484912 +/- 0.010705999966937585,0.8345918504484912 +/- 0.010705999966937585
RFT,BdisT_Bal,Osat,0.664422083135913 +/- 0,0.664422083135913 +/- 0
RFT,BdisT_Bal,Osat_Bal,0.6526134511727014 +/- 0,0.6526134511727014 +/- 0
RFT,Osat,Bdis,0.7522866141948883 +/- 0,0.7522866141948883 +/- 0
RFT,Osat,Bdis_Bal,0.7537417676667597 +/- 0,0.7537417676667597 +/- 0
RFT,Osat,BdisA,0.7430080578234095 +/- 0,0.7430080578234095 +/- 0
RFT,Osat,BdisA_Bal,0.7449040914369647 +/- 0,0.7449040914369647 +/- 0
RFT,Osat,BdisT,0.7213172712771195 +/- 0,0.7213172712771195 +/- 0
RFT,Osat,BdisT_Bal,0.7301679519533824 +/- 0,0.7301679519533824 +/- 0
RFT,Osat,Osat,0.7744781232317697 +/- 0.018942760001642422,0.7744781232317697 +/- 0.018942760001642422
RFT,Osat,Osat_Bal,0.9605670174852434 +/- 0,0.9605670174852434 +/- 0
RFT,Osat_Bal,Bdis,0.7473613411540206 +/- 0,0.7473613411540206 +/- 0
RFT,Osat_Bal,Bdis_Bal,0.7496070181621957 +/- 0,0.7496070181621957 +/- 0
RFT,Osat_Bal,BdisA,0.730834665079095 +/- 0,0.730834665079095 +/- 0
RFT,Osat_Bal,BdisA_Bal,0.7301393443806434 +/- 0,0.7301393443806434 +/- 0
RFT,Osat_Bal,BdisT,0.7196608736090864 +/- 0,0.7196608736090864 +/- 0
RFT,Osat_Bal,BdisT_Bal,0.7175548700703709 +/- 0,0.7175548700703709 +/- 0
RFT,Osat_Bal,Osat,0.9520840670636319 +/- 0,0.9520840670636319 +/- 0
RFT,Osat_Bal,Osat_Bal,0.7734093448611244 +/- 0.011194080759537265,0.7734093448611244 +/- 0.011194080759537265
SVC,Bdis,Bdis,0.7924652714574117 +/- 0.012624308267681827,0.7924652714574117 +/- 0.012624308267681827
SVC,Bdis,Bdis_Bal,0.8148467522513005 +/- 0,0.8148467522513005 +/- 0
SVC,Bdis,BdisA,0.7843250708418221 +/- 0,0.7843250708418221 +/- 0
SVC,Bdis,BdisA_Bal,0.7829198966851542 +/- 0,0.7829198966851542 +/- 0
SVC,Bdis,BdisT,0.7099300882846364 +/- 0,0.7099300882846364 +/- 0
SVC,Bdis,BdisT_Bal,0.7086263734238867 +/- 0,0.7086263734238867 +/- 0
SVC,Bdis,Osat,0.7184502357501792 +/- 0,0.7184502357501792 +/- 0
SVC,Bdis,Osat_Bal,0.7184854275404822 +/- 0,0.7184854275404822 +/- 0
SVC,Bdis_Bal,Bdis,0.7895923717265543 +/- 0,0.7895923717265543 +/- 0
SVC,Bdis_Bal,Bdis_Bal,0.7941676091509295 +/- 0.011942242708654013,0.7941676091509295 +/- 0.011942242708654013
SVC,Bdis_Bal,BdisA,0.7872951306641334 +/- 0,0.7872951306641334 +/- 0
SVC,Bdis_Bal,BdisA_Bal,0.7854399270050488 +/- 0,0.7854399270050488 +/- 0
SVC,Bdis_Bal,BdisT,0.7384601247346858 +/- 0,0.7384601247346858 +/- 0
SVC,Bdis_Bal,BdisT_Bal,0.7371268619124467 +/- 0,0.7371268619124467 +/- 0
SVC,Bdis_Bal,Osat,0.718804175842454 +/- 0,0.718804175842454 +/- 0
SVC,Bdis_Bal,Osat_Bal,0.7187450882217553 +/- 0,0.7187450882217553 +/- 0
SVC,BdisA,Bdis,0.7923069729083426 +/- 0,0.7923069729083426 +/- 0
SVC,BdisA,Bdis_Bal,0.7944691310818665 +/- 0,0.7944691310818665 +/- 0
SVC,BdisA,BdisA,0.7913621078615731 +/- 0.016553625649823798,0.7913621078615731 +/- 0.016553625649823798
SVC,BdisA,BdisA_Bal,0.7857483016684486 +/- 0,0.7857483016684486 +/- 0
SVC,BdisA,BdisT,0.726502611445672 +/- 0,0.726502611445672 +/- 0
SVC,BdisA,BdisT_Bal,0.7229651985463224 +/- 0,0.7229651985463224 +/- 0
SVC,BdisA,Osat,0.706981159071817 +/- 0,0.706981159071817 +/- 0
SVC,BdisA,Osat_Bal,0.7072186620659445 +/- 0,0.7072186620659445 +/- 0
SVC,BdisA_Bal,Bdis,0.7945102750877462 +/- 0,0.7945102750877462 +/- 0
SVC,BdisA_Bal,Bdis_Bal,0.796937342114735 +/- 0,0.796937342114735 +/- 0
SVC,BdisA_Bal,BdisA,0.803787665894546 +/- 0,0.803787665894546 +/- 0
SVC,BdisA_Bal,BdisA_Bal,0.7920899091832901 +/- 0.008366417946667341,0.7920899091832901 +/- 0.008366417946667341
SVC,BdisA_Bal,BdisT,0.7542861873606972 +/- 0,0.7542861873606972 +/- 0
SVC,BdisA_Bal,BdisT_Bal,0.7549663262841304 +/- 0,0.7549663262841304 +/- 0
SVC,BdisA_Bal,Osat,0.7142367243606594 +/- 0,0.7142367243606594 +/- 0
SVC,BdisA_Bal,Osat_Bal,0.7139502437095828 +/- 0,0.7139502437095828 +/- 0
SVC,BdisT,Bdis,0.7539788739016264 +/- 0,0.7539788739016264 +/- 0
SVC,BdisT,Bdis_Bal,0.7561119453274456 +/- 0,0.7561119453274456 +/- 0
SVC,BdisT,BdisA,0.761239179138756 +/- 0,0.761239179138756 +/- 0
SVC,BdisT,BdisA_Bal,0.7581585441056353 +/- 0,0.7581585441056353 +/- 0
